County,variable,value
Russell County,mean_ffu_housing_units_total,-3.378929937368827
Salem city,mean_ffu_housing_units_total,3.859027224989712
Scott County,mean_ffu_housing_units_total,-8.031137416313912
Shenandoah County,mean_ffu_housing_units_total,NaN
Smyth County,mean_ffu_housing_units_total,3.8339419818521496
Southampton County,mean_ffu_housing_units_total,-2.68515309455506
Spotsylvania County,mean_ffu_housing_units_total,-4.563583412858241
Stafford County,mean_ffu_housing_units_total,NaN
Staunton city,mean_ffu_housing_units_total,3.7907773471603257
Suffolk city,mean_ffu_housing_units_total,-0.48572121852547123
Surry County,mean_ffu_housing_units_total,-6.850198412698412
Sussex County,mean_ffu_housing_units_total,-2.90603865028867
Tazewell County,mean_ffu_housing_units_total,-1.5172938793604833
Virginia Beach city,mean_ffu_housing_units_total,7.138623135464212
Warren County,mean_ffu_housing_units_total,NaN
Washington County,mean_ffu_housing_units_total,NaN
Waynesboro city,mean_ffu_housing_units_total,2.4696034222456693
Westmoreland County,mean_ffu_housing_units_total,-16.877418751123137
Williamsburg city,mean_ffu_housing_units_total,4.999890213782436
Winchester city,mean_ffu_housing_units_total,NaN
Wise County,mean_ffu_housing_units_total,NaN
Wythe County,mean_ffu_housing_units_total,-3.350262704824207
York County,mean_ffu_housing_units_total,4.862042082500398
NA,mean_ffu_housing_units_total,9.614173228346457
Accomack County,mean_occ_status_occupied,NaN
Albemarle County,mean_occ_status_occupied,1.6336224087031797
Alexandria city,mean_occ_status_occupied,NaN
Alleghany County,mean_occ_status_occupied,-9.914491217229857
Amelia County,mean_occ_status_occupied,-6.6665683201180155
Amherst County,mean_occ_status_occupied,NaN
Appomattox County,mean_occ_status_occupied,-8.492483273971645
Arlington County,mean_occ_status_occupied,NaN
Augusta County,mean_occ_status_occupied,NaN
Bath County,mean_occ_status_occupied,-10.565445026178011
Bedford County,mean_occ_status_occupied,-5.713953714659163
Bland County,mean_occ_status_occupied,-10.52442218798151
Botetourt County,mean_occ_status_occupied,-4.322913281559429
Bristol city,mean_occ_status_occupied,NaN
Brunswick County,mean_occ_status_occupied,-7.99118905210252
Buchanan County,mean_occ_status_occupied,NaN
Buckingham County,mean_occ_status_occupied,NaN
Buena Vista city,mean_occ_status_occupied,0.24607329842931938
Campbell County,mean_occ_status_occupied,-0.8923976479496963
Caroline County,mean_occ_status_occupied,NaN
Carroll County,mean_occ_status_occupied,-12.36697143157515
Charles City County,mean_occ_status_occupied,-2.8542825361512794
Charlotte County,mean_occ_status_occupied,-9.813299516204715
Charlottesville city,mean_occ_status_occupied,NaN
Chesapeake city,mean_occ_status_occupied,1.47537616682238
Chesterfield County,mean_occ_status_occupied,-0.5358613594351819
Clarke County,mean_occ_status_occupied,-4.567700334046466
Colonial Heights city,mean_occ_status_occupied,NaN
Covington city,mean_occ_status_occupied,-10.137600356824265
Craig County,mean_occ_status_occupied,NaN
Culpeper County,mean_occ_status_occupied,1.2548861532427904
Cumberland County,mean_occ_status_occupied,NaN
Danville city,mean_occ_status_occupied,0.9598873680653108
Dickenson County,mean_occ_status_occupied,NaN
Dinwiddie County,mean_occ_status_occupied,NaN
Emporia city,mean_occ_status_occupied,-1.694225721784777
Essex County,mean_occ_status_occupied,NaN
Fairfax city,mean_occ_status_occupied,NaN
Fairfax County,mean_occ_status_occupied,2.4576236929141584
Falls Church city,mean_occ_status_occupied,NaN
Fauquier County,mean_occ_status_occupied,NaN
Floyd County,mean_occ_status_occupied,NaN
Fluvanna County,mean_occ_status_occupied,NaN
Franklin city,mean_occ_status_occupied,3.1675736961451246
Franklin County,mean_occ_status_occupied,-8.734257301983574
Frederick County,mean_occ_status_occupied,NaN
Fredericksburg city,mean_occ_status_occupied,4.065678039191099
Galax city,mean_occ_status_occupied,0.4327777777777777
Giles County,mean_occ_status_occupied,NaN
Gloucester County,mean_occ_status_occupied,-1.1762308891062585
Goochland County,mean_occ_status_occupied,-6.563498867128092
Grayson County,mean_occ_status_occupied,-3.3772439374587337
Greene County,mean_occ_status_occupied,NaN
Greensville County,mean_occ_status_occupied,-6.856440071556351
Halifax County,mean_occ_status_occupied,NaN
Hampton city,mean_occ_status_occupied,1.9258262575518728
Hanover County,mean_occ_status_occupied,-2.0135339783378248
Harrisonburg city,mean_occ_status_occupied,NaN
Henrico County,mean_occ_status_occupied,NaN
Henry County,mean_occ_status_occupied,-6.411435559956115
Highland County,mean_occ_status_occupied,NaN
Hopewell city,mean_occ_status_occupied,NaN
Isle of Wight County,mean_occ_status_occupied,-2.9008147691872366
James City County,mean_occ_status_occupied,NaN
King and Queen County,mean_occ_status_occupied,NaN
King George County,mean_occ_status_occupied,-3.148536618036464
King William County,mean_occ_status_occupied,NaN
Lancaster County,mean_occ_status_occupied,-15.723910368917338
Lee County,mean_occ_status_occupied,-6.317238831419206
Lexington city,mean_occ_status_occupied,-0.9279661016949152
Loudoun County,mean_occ_status_occupied,0.7326560592523829
Louisa County,mean_occ_status_occupied,-2.931838817434521
Lunenburg County,mean_occ_status_occupied,NaN
Lynchburg city,mean_occ_status_occupied,2.1459897981127307
Madison County,mean_occ_status_occupied,-7.064677343932663
Manassas city,mean_occ_status_occupied,NaN
Manassas Park city,mean_occ_status_occupied,NaN
Martinsville city,mean_occ_status_occupied,-2.8013679263430036
Mathews County,mean_occ_status_occupied,NaN
Mecklenburg County,mean_occ_status_occupied,-12.75655520336245
Middlesex County,mean_occ_status_occupied,NaN
Montgomery County,mean_occ_status_occupied,NaN
Nelson County,mean_occ_status_occupied,NaN
New Kent County,mean_occ_status_occupied,-2.0107117581639873
Newport News city,mean_occ_status_occupied,3.665305765542158
Norfolk city,mean_occ_status_occupied,4.443945054272505
Northampton County,mean_occ_status_occupied,-16.247539015606243
Northumberland County,mean_occ_status_occupied,-17.88150807669169
Norton city,mean_occ_status_occupied,NaN
Nottoway County,mean_occ_status_occupied,-8.281685032633991
Orange County,mean_occ_status_occupied,NaN
Page County,mean_occ_status_occupied,-2.4439569692756926
Patrick County,mean_occ_status_occupied,NaN
Petersburg city,mean_occ_status_occupied,1.7092959988392704
Pittsylvania County,mean_occ_status_occupied,-6.308613563251689
Poquoson city,mean_occ_status_occupied,NaN
Portsmouth city,mean_occ_status_occupied,1.7205858818355189
Powhatan County,mean_occ_status_occupied,-4.37098397419649
Prince Edward County,mean_occ_status_occupied,-3.931384941906681
Prince George County,mean_occ_status_occupied,2.0348287708762016
Prince William County,mean_occ_status_occupied,0.5222408878086487
Pulaski County,mean_occ_status_occupied,NaN
Radford city,mean_occ_status_occupied,2.290795401710755
Rappahannock County,mean_occ_status_occupied,-6.930059523809524
Richmond city,mean_occ_status_occupied,NaN
Richmond County,mean_occ_status_occupied,-5.9198063380281685
Roanoke city,mean_occ_status_occupied,3.0582909458205028
Roanoke County,mean_occ_status_occupied,1.0120822011839583
Rockbridge County,mean_occ_status_occupied,-2.7610747053606115
Rockingham County,mean_occ_status_occupied,-3.278358758086107
Russell County,mean_occ_status_occupied,-4.7088665965640875
Salem city,mean_occ_status_occupied,1.8090710042982034
Scott County,mean_occ_status_occupied,-8.287045744108026
Shenandoah County,mean_occ_status_occupied,NaN
Smyth County,mean_occ_status_occupied,0.1342180552035397
Southampton County,mean_occ_status_occupied,-3.95383414295628
Spotsylvania County,mean_occ_status_occupied,-5.389427000231051
Stafford County,mean_occ_status_occupied,NaN
Staunton city,mean_occ_status_occupied,0.5730328601788478
Suffolk city,mean_occ_status_occupied,-1.3520786097503892
Surry County,mean_occ_status_occupied,-6.7023107177974435
Sussex County,mean_occ_status_occupied,-3.1390408056547296
Tazewell County,mean_occ_status_occupied,-3.750243326557308
Virginia Beach city,mean_occ_status_occupied,2.1166064191033627
Warren County,mean_occ_status_occupied,NaN
Washington County,mean_occ_status_occupied,NaN
